dataName,classToSearch,fieldToSearch,dataClass,fileName,dataType,URL
Energy,windTurbineDB,,windTurbines,wind_turbine_database_en.gdb.zip,gdb,https://ftp.cartes.canada.ca/pub/nrcan_rncan/Wind-energy_Energie-eolienne/wind_turbines_database/wind_turbine_database_en.gdb.zip
Energy,E1,,potentialWindTurbines,windLayers_NWT.zip,mif,https://drive.google.com/file/d/1g0AmAN_8RpM4x7tKHl191aTNMJRNszYA/view?usp=sharing
Energy,Powerline,Class,powerLines,NorthwestTerritories_15m_Disturb_Perturb_Line.shp,shapefile,https://drive.google.com/file/d/1hl7bF0JJsF8AQzZIZ0QfoDwvvAq81UpP/view?usp=sharing
Energy,Powerline,Class,powerLines,linearDisturbances_NT1_BCR6_clipped.shp,shapefile,https://drive.google.com/file/d/1_H9Y-AZe-NmKCmqU0RpuZh04moiHf8l7/view?usp=sharing
oilGas,ITI,,potentialOilGas,ECO_ITI_PR_OilandGasRights_GSC_NAD83.shp,shapefile,https://www.iti.gov.nt.ca/sites/iti/files/ECO_ITI_PR_OilandGasRights_GCS_NAD27_Jan26_2023_0.zip
oilGas,hydroPotential,,potentialOilGas,C2H4_BCR6_NT1.tif,raster,https://drive.google.com/file/d/1Uxbp7RU01WUraZRuv9qiP9QNgRDUGsoU/view?usp=sharing
oilGas,Seismic,Class,seismicLines,linearDisturbances_NT1_BCR6_clipped.shp,shapefile,https://drive.google.com/file/d/1_H9Y-AZe-NmKCmqU0RpuZh04moiHf8l7/view?usp=sharing
oilGas,Seismic,Class,seismicLines,NorthwestTerritories_15m_Disturb_Perturb_Line.shp,shapefile,https://drive.google.com/file/d/1hl7bF0JJsF8AQzZIZ0QfoDwvvAq81UpP/view?usp=sharing
oilGas,Pipeline,Class,pipeline,linearDisturbances_NT1_BCR6_clipped.shp,shapefile,https://drive.google.com/file/d/1_H9Y-AZe-NmKCmqU0RpuZh04moiHf8l7/view?usp=sharing
oilGas,Pipeline,Class,pipeline,NorthwestTerritories_15m_Disturb_Perturb_Line.shp,shapefile,https://drive.google.com/file/d/1hl7bF0JJsF8AQzZIZ0QfoDwvvAq81UpP/view?usp=sharing
oilGas,Well site,Class,oilGas,polygonalDisturbances_NT1_BCR6_clipped.shp,shapefile,https://drive.google.com/file/d/18sO2fUR7rBe3akeH35LzJhiPQ79IX0BS/view?usp=sharing
oilGas,Well site,Class,oilGas,NorthwestTerritories_15m_Disturb_Perturb_Poly.shp,shapefile,https://drive.google.com/file/d/1FFpnM7XaFJ5yr64Czfx6vVhtIBFWcXRq/view?usp=sharing
oilGas,Oil/Gas,Class,oilGas,polygonalDisturbances_NT1_BCR6_clipped.shp,shapefile,https://drive.google.com/file/d/18sO2fUR7rBe3akeH35LzJhiPQ79IX0BS/view?usp=sharing
oilGas,Oil/Gas,Class,oilGas,NorthwestTerritories_15m_Disturb_Perturb_Poly.shp,shapefile,https://drive.google.com/file/d/1FFpnM7XaFJ5yr64Czfx6vVhtIBFWcXRq/view?usp=sharing
settlements,Airstrip,Class,otherLines,NorthwestTerritories_15m_Disturb_Perturb_Line.shp,shapefile,https://drive.google.com/file/d/1hl7bF0JJsF8AQzZIZ0QfoDwvvAq81UpP/view?usp=sharing
settlements,Airstrip,Class,otherLines,linearDisturbances_NT1_BCR6_clipped.shp,shapefile,https://drive.google.com/file/d/1_H9Y-AZe-NmKCmqU0RpuZh04moiHf8l7/view?usp=sharing
settlements,Settlement,Class,settlements,NorthwestTerritories_15m_Disturb_Perturb_Poly.shp,shapefile,https://drive.google.com/file/d/1FFpnM7XaFJ5yr64Czfx6vVhtIBFWcXRq/view?usp=sharing
settlements,Settlement,Class,settlements,polygonalDisturbances_NT1_BCR6_clipped.shp,shapefile,https://drive.google.com/file/d/18sO2fUR7rBe3akeH35LzJhiPQ79IX0BS/view?usp=sharing
settlements,Unknown,Class,otherPolygons,NorthwestTerritories_15m_Disturb_Perturb_Poly.shp,shapefile,https://drive.google.com/file/d/1FFpnM7XaFJ5yr64Czfx6vVhtIBFWcXRq/view?usp=sharing
settlements,Unknown,Class,otherPolygons,polygonalDisturbances_NT1_BCR6_clipped.shp,shapefile,https://drive.google.com/file/d/18sO2fUR7rBe3akeH35LzJhiPQ79IX0BS/view?usp=sharing
mining,Mine,Class,mining,NorthwestTerritories_15m_Disturb_Perturb_Poly.shp,shapefile,https://drive.google.com/file/d/1FFpnM7XaFJ5yr64Czfx6vVhtIBFWcXRq/view?usp=sharing
mining,Mine,Class,mining,polygonalDisturbances_NT1_BCR6_clipped.shp,shapefile,https://drive.google.com/file/d/18sO2fUR7rBe3akeH35LzJhiPQ79IX0BS/view?usp=sharing
mining,miningLeases,,mining,MiningLeases.shp,shapefile,http://www.geomatics.gov.nt.ca/Downloads/Vector/Mineral_Tenure/MineralTenureAll.zip
mining,mineralClaims,,potentialMining,MineralClaims.shp,shapefile,http://www.geomatics.gov.nt.ca/Downloads/Vector/Mineral_Tenure/MineralTenureAll.zip
mining,prospectingPermits,,potentialMining,ProspectingPermits.shp,shapefile,http://www.geomatics.gov.nt.ca/Downloads/Vector/Mineral_Tenure/MineralTenureAll.zip
roads,Road,Class,roads,NorthwestTerritories_15m_Disturb_Perturb_Line.shp,shapefile,https://drive.google.com/file/d/1hl7bF0JJsF8AQzZIZ0QfoDwvvAq81UpP/view?usp=sharing
roads,NRN,,roads,NRN_NT_13_0_ROADSEG.shp,shapefile,https://drive.google.com/file/d/1KV4PPKmJWzEjndl6Vcr6S1L71B8vS4gR/view?usp=sharing
roads,Road,Class,roads,linearDisturbances_NT1_BCR6_clipped.shp,shapefile,https://drive.google.com/file/d/1_H9Y-AZe-NmKCmqU0RpuZh04moiHf8l7/view?usp=sharing
forestry,Cutblock,Class,cutblocks,NorthwestTerritories_15m_Disturb_Perturb_Poly.shp,shapefile,https://drive.google.com/file/d/1FFpnM7XaFJ5yr64Czfx6vVhtIBFWcXRq/view?usp=sharing
forestry,Cutblock,Class,cutblocks,polygonalDisturbances_NT1_BCR6_clipped.shp,shapefile,https://drive.google.com/file/d/18sO2fUR7rBe3akeH35LzJhiPQ79IX0BS/view?usp=sharing
forestry,potentialCutblocks,,potentialCutblocks,NT_FORCOV.shp,shapefile,https://drive.google.com/file/d/1McjYdHQ9LCgkHN7oE9lifk14swG_lPTN/view?usp=sharing
forestry,potentialCutblocks,,potentialCutblocks,Digaa_LandUsePermitArea.shp,shapefile,https://drive.google.com/file/d/1bed08n8GP8rnTi5gpxpKMrBY5_EC4nmC/view?usp=sharing
forestry,potentialCutblocks,,potentialCutblocks,Timberworks_LandUsePermitArea.shp,shapefile,https://drive.google.com/file/d/1vYVU-CqFNIJK69PGKp5A8oHu8swMym0t/view?usp=sharing
forestry,Cutblock,,cutblocks,CutblocksHistory_UpdatedJan2022.shp,shapefile,https://drive.google.com/file/d/1vBI1uJ7kWXFoETBvqUMac1xgFntJ0eI2/view?usp=sharing
settlements,Railway,Class,otherLines,linearDisturbances_NT1_BCR6_clipped.shp,shapefile,https://drive.google.com/file/d/1_H9Y-AZe-NmKCmqU0RpuZh04moiHf8l7/view?usp=sharing
settlements,Unknown,Class,otherLines,linearDisturbances_NT1_BCR6_clipped.shp,shapefile,https://drive.google.com/file/d/1_H9Y-AZe-NmKCmqU0RpuZh04moiHf8l7/view?usp=sharing
settlements,Railway,Class,otherLines,NorthwestTerritories_15m_Disturb_Perturb_Line.shp,shapefile,https://drive.google.com/file/d/1hl7bF0JJsF8AQzZIZ0QfoDwvvAq81UpP/view?usp=sharing
settlements,Unknown,Class,otherLines,NorthwestTerritories_15m_Disturb_Perturb_Line.shp,shapefile,https://drive.google.com/file/d/1hl7bF0JJsF8AQzZIZ0QfoDwvvAq81UpP/view?usp=sharing
